상품번호(스마트스토어),판매자상품코드,채널,결제여부,상품명,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가(PC),판매자즉시할인(PC),관리자즉시할인(PC),할인가(모바일),판매자즉시할인(모바일),관리자즉시할인값(모바일),옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(톡톡친구/스토어찜고객 리뷰 작성),무이자할부,사은품,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,무료반품보험,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,상품등록일,최종수정일,구독유형
5717750730,,스마트스토어,Y,"LED루미사인 부속 모음 ( 연장선,와이어걸이,전원스위치 )",N,-,판매중,전시중,1300,3000,3000,,,3000,,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,조건부 무료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210714_178/1626232013556qRBqy_JPEG/27367848389648788_122214527.jpg,,,,2021-07-14 12:07:24,2021-07-14 12:13:40,
5704221878,3DB_MAX,스마트스토어,Y,LED 최대 사이즈 모음 ( 사이즈 조정 필요 ),N,-,판매중,전시중,2600,160000,160000,,,160000,,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210709_220/1625802964592f1trH_JPEG/26938860325874424_1984890136.jpg,,,,2021-07-09 09:01:53,2021-07-12 13:59:57,
5691917350,3DB_0013,스마트스토어,Y,LED영업중 오픈사인 조명간판 아크릴채널 캠핑포인트문패 개업선물,N,-,판매중,전시중,99,99000,89000,10000원,,89000,10000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20200811_163/15971307592531KYIR_JPEG/34491497885670405_1226569840.jpg,,,,2021-07-04 00:31:25,2021-07-15 08:39:30,
5688594406,,스마트스토어,Y,베이커리 이쁜보조간판 LED 조명 빵집 빵나오는 시간,N,-,판매중,전시중,29997,92000,92000,,,92000,,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,착불 또는 선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210702_201/1625214824426oyWsD_JPEG/26350670146612152_1189946244.jpg,,,,2021-07-02 14:29:49,2021-07-14 09:10:23,
5688592256,,스마트스토어,Y,24시 영업중 오픈 잘보이는 적색 LED 개업선물 영업재개 코로나 창문간판,N,-,판매중,전시중,29997,79000,71000,8000원,,71000,8000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,착불 또는 선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210702_224/1625213066585hkkfT_JPEG/26348955293779421_1838919377.jpg,,,,2021-07-02 14:29:23,2021-08-02 17:07:35,
5687991038,,스마트스토어,Y,영문스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,168000,150000,8000,142000원,,8000,142000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210702_232/1625194834505Ugzw8_JPEG/26330679812094343_1298772847.jpg,,,,2021-07-02 11:11:44,2021-07-14 11:52:49,
5685709248,,스마트스토어,Y,( 작업중 ) 고무 스카시 주문 제작,N,-,판매중,전시중지,7500,1000,1000,,,1000,,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,,유료,선결제,3300,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,,,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210701_262/1625111347306jciSx_JPEG/26247131022467963_426188962.jpg,,,,2021-07-01 12:51:56,2021-07-05 14:19:08,
5678915479,,스마트스토어,Y,정사각형 부식 간판 현판 비조명 조명,N,-,판매중,전시중,4028,400000,200000,200000원,,200000,200000원,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,3300,3300,6600,N,Y,-,생활/건강,문구/사무용품,사무용품,명패,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210628_195/1624869274883xhAHJ_JPEG/26005108697425150_206803997.jpg,,,,2021-06-28 17:46:42,2021-07-07 13:32:17,
5675865002,3DB_0001,스마트스토어,Y,OPEN 네온LED 영업중 조명사인 대문자형,N,-,판매중,전시중,1111,89000,69000,20000원,,69000,20000원,,N,Y,N,,,,,1.0%,100,500,100,500,0,,,,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210504_268/16200872690970jLW7_JPEG/21223111809082375_427801112.jpg,,,,2021-06-26 22:18:37,2021-07-05 14:19:08,
5673380283,,스마트스토어,Y,한글스카시세트 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,168000,150000,8000,142000원,,8000,142000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210625_87/1624604248445dnOzS_JPEG/25740137049510068_889883005.jpg,,,,2021-06-25 15:58:14,2021-07-05 14:19:08,
5667517742,,스마트스토어,Y,영문표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,126000,150000,6000,144000원,,6000,144000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210623_262/1624410887916OaxJc_JPEG/25546730575042227_1033312407.jpg,,,,2021-06-23 10:15:10,2021-07-14 11:53:56,
5665298879,,스마트스토어,Y,한글표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,126000,12000,6000,6000원,,6000,6000원,,Y,Y,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210622_27/1624322963828EHXK3_JPEG/25458862472956118_525967686.jpg,,,,2021-06-22 11:05:28,2021-07-05 14:19:08,
5656232947,,스마트스토어,Y,가게표찰스카시 3t 카페 흡연 창고 벽면 포인트 아크릴 이쁜 이니셜인테리어 캘리그라피,N,-,판매중,전시중,90000,5000,5000,,,5000,,,Y,N,N,,,,,1.0%,0,0,0,0,0,,,기본 배송비 묶음그룹,유료,선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,N,,,,http://shop1.phinf.naver.net/20210621_132/1624249360386A1iW0_JPEG/25385195167018302_1246587296.jpg,,,,2021-06-17 15:13:35,2021-07-05 14:19:08,
5642224090,,스마트스토어,Y,OPEN 오픈 영업중간판 LED아크릴채널 캠핑포인트문패 나래바네온사인 개업선물,N,-,판매중,전시중지,29997,99000,69000,30000원,,69000,30000원,,Y,Y,N,,,,,1.0%,100,500,100,500,0,,,,조건부 무료,착불 또는 선결제,2750,3300,6600,N,Y,-,가구/인테리어,인테리어소품,디자인문패,,동성플러스,알리네 간판,,,,N,N,Y,,,,http://shop1.phinf.naver.net/20210704_249/1625372601724wghHQ_PNG/26508444425351890_133990224.png,,,,2021-06-10 22:37:21,2021-07-05 14:19:08,
